timestamp_utc,row_type,participant_id,condition,epoch,n_epochs,variance_explained,variance_explained_percent,data_variance,residual_variance,mean_variance_explained,std_variance_explained,min_variance_explained,max_variance_explained
2026-05-30T23:51:44.797118+00:00,epoch,P02,One,0,,0.12737425241936862,12.737425241936862,9.53066117496199e-10,8.316700332738904e-10,,,,
2026-05-30T23:51:44.797118+00:00,epoch,P02,One,1,,-0.029967809735617523,-2.9967809735617523,1.1693127049737135e-10,1.204354445637806e-10,,,,
2026-05-30T23:51:44.797118+00:00,epoch,P02,One,2,,0.17310226554409458,17.310226554409457,5.554305690836944e-11,4.592842792228612e-11,,,,
2026-05-30T23:51:44.797118+00:00,epoch,P02,One,3,,0.12109800356872835,12.109800356872835,3.102152417936494e-10,2.726487953358481e-10,,,,
2026-05-30T23:51:44.797118+00:00,epoch,P02,One,4,,0.3845724296139075,38.45724296139075,7.249539567562501e-11,4.461566522482834e-11,,,,
2026-05-30T23:51:44.797118+00:00,epoch,P02,One,5,,0.1665093716946371,16.65093716946371,1.6529530877956786e-10,1.3777209077061098e-10,,,,
2026-05-30T23:51:44.797118+00:00,epoch,P02,One,6,,0.19704871816116676,19.704871816116675,1.5550360942683206e-10,1.2486182251984008e-10,,,,
2026-05-30T23:51:44.797118+00:00,epoch,P02,One,7,,0.28290958608660155,28.290958608660155,1.3347530605262265e-10,9.571386246449272e-11,,,,
2026-05-30T23:51:44.797118+00:00,epoch,P02,One,8,,0.04886109828200713,4.886109828200713,4.927783010919689e-10,4.687006120910737e-10,,,,
2026-05-30T23:51:44.797118+00:00,epoch,P02,One,9,,0.16295960742267845,16.295960742267845,7.074699415374207e-10,5.921809176011373e-10,,,,
2026-05-30T23:51:44.797118+00:00,epoch,P02,One,10,,0.05788332157955345,5.788332157955345,3.6962799177853617e-10,3.4823269586561464e-10,,,,
2026-05-30T23:51:44.797118+00:00,epoch,P02,One,11,,0.12034484053817407,12.034484053817406,5.873572357127875e-10,5.166718228419894e-10,,,,
2026-05-30T23:51:44.797118+00:00,epoch,P02,One,12,,0.16653917125741957,16.653917125741955,6.739023604908462e-10,5.616712198662819e-10,,,,
2026-05-30T23:51:44.797118+00:00,epoch,P02,One,13,,0.13771898533751703,13.771898533751703,6.540276211186854e-10,5.6395560075551e-10,,,,
2026-05-30T23:51:44.797118+00:00,epoch,P02,One,14,,0.07933472355978033,7.933472355978033,2.0711896185930158e-10,1.906872362762052e-10,,,,
2026-05-30T23:51:44.797118+00:00,epoch,P02,One,15,,0.145781884378263,14.5781884378263,7.416863448902331e-10,6.335619119145087e-10,,,,
2026-05-30T23:51:44.797118+00:00,epoch,P02,One,16,,0.167707978814418,16.7707978814418,4.825588518679366e-09,4.016298821621588e-09,,,,
2026-05-30T23:51:44.797118+00:00,epoch,P02,One,17,,0.18304591117227798,18.304591117227798,4.2509122535124095e-10,3.472800146754829e-10,,,,
2026-05-30T23:51:44.797118+00:00,epoch,P02,One,18,,0.139400560101552,13.9400560101552,4.602258646191857e-10,3.960701213180502e-10,,,,
2026-05-30T23:51:44.797118+00:00,epoch,P02,One,19,,0.22421318023788495,22.421318023788494,7.775539894846211e-10,6.032161366956193e-10,,,,
2026-05-30T23:51:44.797118+00:00,epoch,P02,One,20,,0.1951361412462781,19.51361412462781,1.6479004790912787e-09,1.3263355384435137e-09,,,,
2026-05-30T23:51:44.797118+00:00,epoch,P02,One,21,,0.11609479626709807,11.609479626709806,4.1148089899790226e-10,3.6371010786093844e-10,,,,
2026-05-30T23:51:44.797118+00:00,epoch,P02,One,22,,0.09504540116139382,9.504540116139381,6.622032561353002e-10,5.992638820055394e-10,,,,
2026-05-30T23:51:44.797118+00:00,epoch,P02,One,23,,0.20991919421462524,20.991919421462523,6.182929680982007e-10,4.885014064464574e-10,,,,
2026-05-30T23:51:44.797118+00:00,epoch,P02,One,24,,0.09022125872322684,9.022125872322684,4.900859913977115e-10,4.4586981637118947e-10,,,,
2026-05-30T23:51:44.797118+00:00,epoch,P02,One,25,,0.06991400500207012,6.991400500207012,7.212278283573512e-10,6.708039023579432e-10,,,,
2026-05-30T23:51:44.797118+00:00,epoch,P02,One,26,,0.07450332370330948,7.450332370330948,9.893276942501285e-11,9.156194927967624e-11,,,,
2026-05-30T23:51:44.797118+00:00,epoch,P02,One,27,,0.14963574055966844,14.963574055966845,2.2654098519003947e-10,1.9264235710401104e-10,,,,
2026-05-30T23:51:44.797118+00:00,epoch,P02,One,28,,0.13093656921770302,13.093656921770302,6.147039493663436e-10,5.34216723151742e-10,,,,
2026-05-30T23:51:44.797118+00:00,epoch,P02,One,29,,0.08831132844223588,8.831132844223589,4.1849962795074064e-10,3.815413698538293e-10,,,,
2026-05-30T23:51:44.797118+00:00,epoch,P02,One,30,,0.09727671111347369,9.72767111134737,3.991384990507526e-10,3.6031161858432706e-10,,,,
2026-05-30T23:51:44.797118+00:00,epoch,P02,One,31,,-0.016554585329898508,-1.6554585329898508,9.254094607742647e-11,9.407292306577477e-11,,,,
2026-05-30T23:51:44.797118+00:00,epoch,P02,One,32,,0.1617648817511107,16.17648817511107,5.696893388097588e-10,4.775336102823297e-10,,,,
2026-05-30T23:51:44.797118+00:00,epoch,P02,One,33,,0.15998383788461357,15.998383788461357,8.378943777645349e-10,7.038448194678244e-10,,,,
2026-05-30T23:51:44.797118+00:00,epoch,P02,One,34,,0.18943108541120002,18.94310854112,3.1293638839654363e-10,2.536565086779255e-10,,,,
2026-05-30T23:51:44.797118+00:00,epoch,P02,One,35,,0.12108378662838404,12.108378662838405,1.0824660714019288e-09,9.513969805798325e-10,,,,
2026-05-30T23:51:44.797118+00:00,epoch,P02,One,36,,0.1713529899663483,17.13529899663483,1.3074057793394346e-09,1.0833778899503387e-09,,,,
2026-05-30T23:51:44.797118+00:00,epoch,P02,One,37,,0.15546296676664617,15.546296676664618,8.821125269794438e-10,7.449766965131962e-10,,,,
2026-05-30T23:51:44.797118+00:00,epoch,P02,One,38,,0.14509058400858255,14.509058400858255,1.1577373218446022e-09,9.897605376896366e-10,,,,
2026-05-30T23:51:44.797118+00:00,epoch,P02,One,39,,0.09847290355822469,9.84729035582247,5.490735461480953e-10,4.950046797918815e-10,,,,
2026-05-30T23:54:08.590359+00:00,epoch,P02,Two,0,,-0.10540990013351181,-10.54099001335118,7.255752353373643e-11,8.020580484336252e-11,,,,
2026-05-30T23:54:08.590359+00:00,epoch,P02,Two,1,,0.028635845561478357,2.8635845561478357,1.3227759415182254e-10,1.2848971339444704e-10,,,,
2026-05-30T23:54:08.590359+00:00,epoch,P02,Two,2,,-0.2901332989263674,-29.01332989263674,9.032014741316292e-11,1.1652502974165968e-10,,,,
2026-05-30T23:54:08.590359+00:00,epoch,P02,Two,3,,0.050860715343640894,5.086071534364089,7.526315469458024e-10,7.143521680779478e-10,,,,
2026-05-30T23:54:08.590359+00:00,epoch,P02,Two,4,,0.021460499566519964,2.1460499566519964,1.4315320627076357e-09,1.400810669496439e-09,,,,
2026-05-30T23:54:08.590359+00:00,epoch,P02,Two,5,,-0.10755344607422557,-10.755344607422558,9.115679460003564e-11,1.0096102199234983e-10,,,,
2026-05-30T23:54:08.590359+00:00,epoch,P02,Two,6,,0.12325070214115941,12.325070214115941,5.7821750978638044e-11,5.0695179571489636e-11,,,,
