a,b,measure,n,mean_a,mean_b,mean_diff,t,df,p,dz,p_holm,sig
standing,straight,p2p,27,0.923,1.08,-0.157,-1.224,26,0.2321,-0.235,0.6963,
standing,straight,p50,27,0.343,0.392,-0.049,-0.373,26,0.7125,-0.072,1.0,
standing,straight,n90,27,-0.579,-0.688,0.108,0.818,26,0.4208,0.157,0.8416,
standing,diagonal,p2p,27,0.923,1.031,-0.109,-0.968,26,0.3419,-0.186,0.6963,
standing,diagonal,p50,27,0.343,0.286,0.057,0.625,26,0.5374,0.12,1.0,
standing,diagonal,n90,27,-0.579,-0.745,0.166,1.195,26,0.2427,0.23,0.7282,
straight,diagonal,p2p,28,1.072,0.997,0.076,0.67,27,0.5083,0.127,0.6963,
straight,diagonal,p50,28,0.377,0.314,0.063,0.499,27,0.6219,0.094,1.0,
straight,diagonal,n90,28,-0.695,-0.683,-0.012,-0.091,27,0.9283,-0.017,0.9283,
