total_standing,correct_standing,accuracy_standing,total_straight,correct_straight,accuracy_straight,total_diagonal,correct_diagonal,accuracy_diagonal,overall_accuracy,macro_f1,macro_auc,cm_standing_standing,cm_standing_straight,cm_standing_diagonal,cm_straight_standing,cm_straight_straight,cm_straight_diagonal,cm_diagonal_standing,cm_diagonal_straight,cm_diagonal_diagonal,participant_id,model,n_features_final,best_params,inner_best_score,cv_mode,repeat,fold,channel_mode
13,12,0.9230769230769231,14,8,0.5714285714285714,13,6,0.46153846153846156,0.65,0.6516003536693192,0.8523266856600191,12,1,0,0,8,6,1,6,6,P06,xgb,80,"{'subsample': 0.6, 'reg_lambda': 1, 'reg_alpha': 0, 'min_child_weight': 1, 'max_depth': 2, 'learning_rate': 0.03, 'gamma': 0, 'colsample_bytree': 0.6, 'colsample_bylevel': 0.6, 'n_estimators': 300}",0.9198717948717949,repeated_stratified,0,0,full
13,13,1.0,13,6,0.46153846153846156,14,7,0.5,0.65,0.642363315696649,0.8517501017501018,13,0,0,1,6,6,1,6,7,P06,xgb,80,"{'subsample': 0.6, 'reg_lambda': 1, 'reg_alpha': 0, 'min_child_weight': 1, 'max_depth': 2, 'learning_rate': 0.03, 'gamma': 0, 'colsample_bytree': 0.6, 'colsample_bylevel': 0.6, 'n_estimators': 300}",0.9057794057794057,repeated_stratified,0,1,full
14,13,0.9285714285714286,13,6,0.46153846153846156,13,9,0.6923076923076923,0.7,0.6836102965135223,0.8693528693528694,13,0,1,3,6,4,1,3,9,P06,xgb,80,"{'subsample': 0.6, 'reg_lambda': 3, 'reg_alpha': 0.1, 'min_child_weight': 1, 'max_depth': 2, 'learning_rate': 0.05, 'gamma': 0, 'colsample_bytree': 0.7, 'colsample_bylevel': 0.6, 'n_estimators': 300}",0.7590727174060508,repeated_stratified,0,2,full
13,13,1.0,14,8,0.5714285714285714,13,6,0.46153846153846156,0.675,0.6714638447971781,0.8298059964726633,13,0,0,0,8,6,1,6,6,P06,xgb,80,"{'subsample': 0.8, 'reg_lambda': 5, 'reg_alpha': 0.1, 'min_child_weight': 1, 'max_depth': 8, 'learning_rate': 0.03, 'gamma': 0, 'colsample_bytree': 0.6, 'colsample_bylevel': 0.6, 'n_estimators': 300}",0.8712861212861213,repeated_stratified,1,0,full
13,13,1.0,13,8,0.6153846153846154,14,8,0.5714285714285714,0.725,0.7203880070546737,0.9224325057658391,13,0,0,2,8,3,0,6,8,P06,xgb,80,"{'subsample': 0.6, 'reg_lambda': 1, 'reg_alpha': 0, 'min_child_weight': 1, 'max_depth': 2, 'learning_rate': 0.03, 'gamma': 0, 'colsample_bytree': 0.6, 'colsample_bylevel': 0.6, 'n_estimators': 300}",0.8924162257495591,repeated_stratified,1,1,full
14,14,1.0,13,8,0.6153846153846154,13,5,0.38461538461538464,0.675,0.6531024531024531,0.8281779948446615,14,0,0,1,8,4,1,7,5,P06,xgb,80,"{'subsample': 0.6, 'reg_lambda': 3, 'reg_alpha': 0.1, 'min_child_weight': 1, 'max_depth': 2, 'learning_rate': 0.05, 'gamma': 0, 'colsample_bytree': 0.7, 'colsample_bylevel': 0.6, 'n_estimators': 300}",0.9342355175688509,repeated_stratified,1,2,full
