total_standing,correct_standing,accuracy_standing,total_straight,correct_straight,accuracy_straight,total_diagonal,correct_diagonal,accuracy_diagonal,overall_accuracy,macro_f1,macro_auc,cm_standing_standing,cm_standing_straight,cm_standing_diagonal,cm_straight_standing,cm_straight_straight,cm_straight_diagonal,cm_diagonal_standing,cm_diagonal_straight,cm_diagonal_diagonal,participant_id,model,n_features_final,best_params,inner_best_score,cv_mode,repeat,fold,channel_mode,ablation
8,7,0.875,8,5,0.625,8,3,0.375,0.625,0.6166150670794633,0.7734375,7,1,0,2,5,1,0,5,3,P08,xgb,150,"{'subsample': 0.6, 'reg_lambda': 3, 'reg_alpha': 0.1, 'min_child_weight': 1, 'max_depth': 8, 'learning_rate': 0.05, 'gamma': 0, 'colsample_bytree': 0.7, 'colsample_bylevel': 0.8, 'n_estimators': 300}",0.925036075036075,repeated_stratified,0,0,full,electrode
8,5,0.625,8,2,0.25,8,5,0.625,0.5,0.5103785103785103,0.7213541666666666,5,1,2,0,2,6,0,3,5,P08,xgb,149,"{'subsample': 0.6, 'reg_lambda': 1, 'reg_alpha': 0, 'min_child_weight': 1, 'max_depth': 2, 'learning_rate': 0.03, 'gamma': 0, 'colsample_bytree': 0.6, 'colsample_bylevel': 0.6, 'n_estimators': 300}",0.9115440115440115,repeated_stratified,0,1,full,electrode
7,6,0.8571428571428571,8,4,0.5,8,4,0.5,0.6086956521739131,0.6203548085901027,0.8382936507936508,6,1,0,1,4,3,0,4,4,P08,xgb,150,"{'subsample': 0.6, 'reg_lambda': 1, 'reg_alpha': 0, 'min_child_weight': 1, 'max_depth': 2, 'learning_rate': 0.03, 'gamma': 0, 'colsample_bytree': 0.6, 'colsample_bylevel': 0.6, 'n_estimators': 300}",0.9043290043290043,repeated_stratified,0,2,full,electrode
7,6,0.8571428571428571,8,5,0.625,8,3,0.375,0.6086956521739131,0.6056022408963585,0.7902777777777779,6,0,1,1,5,2,1,4,3,P08,xgb,150,"{'subsample': 0.6, 'reg_lambda': 1, 'reg_alpha': 0, 'min_child_weight': 1, 'max_depth': 2, 'learning_rate': 0.03, 'gamma': 0, 'colsample_bytree': 0.6, 'colsample_bylevel': 0.6, 'n_estimators': 300}",0.8962481962481963,repeated_stratified,0,3,full,electrode
7,7,1.0,8,4,0.5,8,5,0.625,0.6956521739130435,0.6872082166199812,0.8297619047619048,7,0,0,2,4,2,1,2,5,P08,xgb,150,"{'subsample': 0.6, 'reg_lambda': 3, 'reg_alpha': 0.1, 'min_child_weight': 1, 'max_depth': 8, 'learning_rate': 0.05, 'gamma': 0, 'colsample_bytree': 0.7, 'colsample_bylevel': 0.8, 'n_estimators': 300}",0.874963924963925,repeated_stratified,0,4,full,electrode
8,7,0.875,8,3,0.375,8,5,0.625,0.625,0.6134453781512605,0.8697916666666666,7,1,0,1,3,4,1,2,5,P08,xgb,150,"{'subsample': 0.6, 'reg_lambda': 1, 'reg_alpha': 0, 'min_child_weight': 1, 'max_depth': 2, 'learning_rate': 0.03, 'gamma': 0, 'colsample_bytree': 0.6, 'colsample_bylevel': 0.6, 'n_estimators': 300}",0.8839666506333174,repeated_stratified,1,0,full,electrode
8,7,0.875,8,6,0.75,8,4,0.5,0.7083333333333334,0.7121136173767754,0.8697916666666666,7,1,0,0,6,2,0,4,4,P08,xgb,150,"{'subsample': 0.6, 'reg_lambda': 1, 'reg_alpha': 0, 'min_child_weight': 1, 'max_depth': 2, 'learning_rate': 0.03, 'gamma': 0, 'colsample_bytree': 0.6, 'colsample_bylevel': 0.6, 'n_estimators': 300}",0.9322751322751323,repeated_stratified,1,1,full,electrode
7,6,0.8571428571428571,8,2,0.25,8,2,0.25,0.43478260869565216,0.44033613445378156,0.6869047619047618,6,1,0,2,2,4,0,6,2,P08,xgb,149,"{'subsample': 0.6, 'reg_lambda': 3, 'reg_alpha': 0.1, 'min_child_weight': 1, 'max_depth': 8, 'learning_rate': 0.05, 'gamma': 0, 'colsample_bytree': 0.7, 'colsample_bylevel': 0.8, 'n_estimators': 300}",0.918109668109668,repeated_stratified,1,2,full,electrode
7,6,0.8571428571428571,8,1,0.125,8,4,0.5,0.4782608695652174,0.4746031746031745,0.7567460317460317,6,0,1,0,1,7,1,3,4,P08,xgb,149,"{'subsample': 0.6, 'reg_lambda': 1, 'reg_alpha': 0, 'min_child_weight': 1, 'max_depth': 2, 'learning_rate': 0.03, 'gamma': 0, 'colsample_bytree': 0.6, 'colsample_bylevel': 0.6, 'n_estimators': 300}",0.8451178451178452,repeated_stratified,1,3,full,electrode
7,7,1.0,8,1,0.125,8,4,0.5,0.5217391304347826,0.4728867623604465,0.8083333333333335,7,0,0,3,1,4,2,2,4,P08,xgb,150,"{'subsample': 0.6, 'reg_lambda': 1, 'reg_alpha': 0, 'min_child_weight': 1, 'max_depth': 2, 'learning_rate': 0.03, 'gamma': 0, 'colsample_bytree': 0.6, 'colsample_bylevel': 0.6, 'n_estimators': 300}",0.9371091871091871,repeated_stratified,1,4,full,electrode
8,7,0.875,8,4,0.5,8,4,0.5,0.625,0.6263071895424837,0.8177083333333334,7,0,1,0,4,4,1,3,4,P08,xgb,150,"{'subsample': 0.6, 'reg_lambda': 1, 'reg_alpha': 0, 'min_child_weight': 1, 'max_depth': 2, 'learning_rate': 0.03, 'gamma': 0, 'colsample_bytree': 0.6, 'colsample_bylevel': 0.6, 'n_estimators': 300}",0.9035754369087702,repeated_stratified,2,0,full,electrode
8,7,0.875,8,4,0.5,8,5,0.625,0.6666666666666666,0.6633986928104575,0.7630208333333334,7,1,0,2,4,2,0,3,5,P08,xgb,148,"{'subsample': 0.6, 'reg_lambda': 1, 'reg_alpha': 0, 'min_child_weight': 1, 'max_depth': 2, 'learning_rate': 0.03, 'gamma': 0, 'colsample_bytree': 0.6, 'colsample_bylevel': 0.6, 'n_estimators': 300}",0.9211479878146545,repeated_stratified,2,1,full,electrode
7,5,0.7142857142857143,8,5,0.625,8,3,0.375,0.5652173913043478,0.56737998843262,0.729563492063492,5,2,0,1,5,2,1,4,3,P08,xgb,150,"{'subsample': 0.6, 'reg_lambda': 3, 'reg_alpha': 0.1, 'min_child_weight': 1, 'max_depth': 8, 'learning_rate': 0.05, 'gamma': 0, 'colsample_bytree': 0.7, 'colsample_bylevel': 0.8, 'n_estimators': 300}",0.9434102934102935,repeated_stratified,2,2,full,electrode
7,7,1.0,8,6,0.75,8,4,0.5,0.7391304347826086,0.7320889894419307,0.8666666666666666,7,0,0,1,6,1,1,3,4,P08,xgb,150,"{'subsample': 0.6, 'reg_lambda': 3, 'reg_alpha': 0.1, 'min_child_weight': 1, 'max_depth': 2, 'learning_rate': 0.05, 'gamma': 0, 'colsample_bytree': 0.7, 'colsample_bylevel': 0.6, 'n_estimators': 300}",0.8490379990379989,repeated_stratified,2,3,full,electrode
7,7,1.0,8,4,0.5,8,4,0.5,0.6521739130434783,0.6472222222222221,0.8384920634920636,7,0,0,1,4,3,1,3,4,P08,xgb,150,"{'subsample': 0.6, 'reg_lambda': 1, 'reg_alpha': 0, 'min_child_weight': 1, 'max_depth': 2, 'learning_rate': 0.03, 'gamma': 0, 'colsample_bytree': 0.6, 'colsample_bylevel': 0.6, 'n_estimators': 300}",0.9016594516594516,repeated_stratified,2,4,full,electrode
