total_standing,correct_standing,accuracy_standing,total_straight,correct_straight,accuracy_straight,total_diagonal,correct_diagonal,accuracy_diagonal,overall_accuracy,macro_f1,macro_auc,cm_standing_standing,cm_standing_straight,cm_standing_diagonal,cm_straight_standing,cm_straight_straight,cm_straight_diagonal,cm_diagonal_standing,cm_diagonal_straight,cm_diagonal_diagonal,participant_id,model,n_features_final,best_params,inner_best_score,cv_mode,repeat,fold,channel_mode,ablation
8,4,0.5,8,5,0.625,8,2,0.25,0.4583333333333333,0.4475404196766426,0.625,4,3,1,2,5,1,5,1,2,P28,xgb,19,"{'subsample': 0.6, 'reg_lambda': 10, 'reg_alpha': 0.5, 'min_child_weight': 1, 'max_depth': 2, 'learning_rate': 0.05, 'gamma': 0.1, 'colsample_bytree': 0.6, 'colsample_bylevel': 0.6, 'n_estimators': 300}",0.6011544011544011,repeated_stratified,0,0,full,sep
8,3,0.375,8,3,0.375,8,3,0.375,0.375,0.375,0.5989583333333334,3,2,3,3,3,2,2,3,3,P28,xgb,32,"{'subsample': 0.6, 'reg_lambda': 3, 'reg_alpha': 0.1, 'min_child_weight': 1, 'max_depth': 8, 'learning_rate': 0.05, 'gamma': 0, 'colsample_bytree': 0.7, 'colsample_bylevel': 0.8, 'n_estimators': 300}",0.628932178932179,repeated_stratified,0,1,full,sep
8,3,0.375,8,4,0.5,8,3,0.375,0.4166666666666667,0.416005291005291,0.5859375,3,4,1,2,4,2,3,2,3,P28,xgb,21,"{'subsample': 0.6, 'reg_lambda': 10, 'reg_alpha': 0.5, 'min_child_weight': 1, 'max_depth': 2, 'learning_rate': 0.05, 'gamma': 0.1, 'colsample_bytree': 0.6, 'colsample_bylevel': 0.6, 'n_estimators': 300}",0.6169793169793168,repeated_stratified,0,2,full,sep
8,3,0.375,8,4,0.5,8,5,0.625,0.5,0.4957983193277311,0.6171875,3,3,2,2,4,2,1,2,5,P28,xgb,32,"{'subsample': 0.8, 'reg_lambda': 3, 'reg_alpha': 0.1, 'min_child_weight': 1, 'max_depth': 2, 'learning_rate': 0.03, 'gamma': 1, 'colsample_bytree': 0.6, 'colsample_bylevel': 0.6, 'n_estimators': 300}",0.5716931216931217,repeated_stratified,0,3,full,sep
8,3,0.375,8,4,0.5,8,4,0.5,0.4583333333333333,0.4576719576719577,0.6171875,3,2,3,1,4,3,2,2,4,P28,xgb,32,"{'subsample': 0.8, 'reg_lambda': 1, 'reg_alpha': 0.5, 'min_child_weight': 1, 'max_depth': 2, 'learning_rate': 0.01, 'gamma': 0.1, 'colsample_bytree': 0.7, 'colsample_bylevel': 0.6, 'n_estimators': 300}",0.6074795574795576,repeated_stratified,0,4,full,sep
8,1,0.125,8,5,0.625,8,4,0.5,0.4166666666666667,0.4184318097361575,0.6927083333333334,1,7,0,3,5,0,1,3,4,P28,xgb,20,"{'subsample': 0.6, 'reg_lambda': 5, 'reg_alpha': 0, 'min_child_weight': 1, 'max_depth': 2, 'learning_rate': 0.01, 'gamma': 0.3, 'colsample_bytree': 0.7, 'colsample_bylevel': 0.6, 'n_estimators': 300}",0.6214045214045214,repeated_stratified,1,0,full,sep
8,3,0.375,8,1,0.125,8,5,0.625,0.375,0.35714285714285715,0.6302083333333334,3,3,2,2,1,5,1,2,5,P28,xgb,11,"{'subsample': 0.6, 'reg_lambda': 5, 'reg_alpha': 0, 'min_child_weight': 1, 'max_depth': 2, 'learning_rate': 0.01, 'gamma': 0.3, 'colsample_bytree': 0.7, 'colsample_bylevel': 0.6, 'n_estimators': 300}",0.6857383357383356,repeated_stratified,1,1,full,sep
8,4,0.5,8,3,0.375,8,3,0.375,0.4166666666666667,0.4196413608178314,0.5755208333333334,4,3,1,4,3,1,2,3,3,P28,xgb,32,"{'subsample': 0.8, 'reg_lambda': 5, 'reg_alpha': 0.1, 'min_child_weight': 1, 'max_depth': 8, 'learning_rate': 0.03, 'gamma': 0, 'colsample_bytree': 0.6, 'colsample_bylevel': 0.6, 'n_estimators': 300}",0.6157046657046656,repeated_stratified,1,2,full,sep
8,3,0.375,8,5,0.625,8,2,0.25,0.4166666666666667,0.40401002506265665,0.5572916666666666,3,3,2,1,5,2,3,3,2,P28,xgb,32,"{'subsample': 0.6, 'reg_lambda': 5, 'reg_alpha': 0.5, 'min_child_weight': 1, 'max_depth': 8, 'learning_rate': 0.03, 'gamma': 0.3, 'colsample_bytree': 0.6, 'colsample_bylevel': 0.6, 'n_estimators': 300}",0.6427128427128427,repeated_stratified,1,3,full,sep
8,4,0.5,8,1,0.125,8,4,0.5,0.375,0.35555555555555557,0.6015625,4,2,2,5,1,2,3,1,4,P28,xgb,32,"{'subsample': 0.6, 'reg_lambda': 5, 'reg_alpha': 0, 'min_child_weight': 1, 'max_depth': 2, 'learning_rate': 0.01, 'gamma': 0.3, 'colsample_bytree': 0.7, 'colsample_bylevel': 0.6, 'n_estimators': 300}",0.5608465608465608,repeated_stratified,1,4,full,sep
