total_standing,correct_standing,accuracy_standing,total_straight,correct_straight,accuracy_straight,total_diagonal,correct_diagonal,accuracy_diagonal,overall_accuracy,macro_f1,macro_auc,cm_standing_standing,cm_standing_straight,cm_standing_diagonal,cm_straight_standing,cm_straight_straight,cm_straight_diagonal,cm_diagonal_standing,cm_diagonal_straight,cm_diagonal_diagonal,participant_id,model,n_features_final,best_params,inner_best_score,cv_mode,repeat,fold,channel_mode,ablation
8,4,0.5,8,2,0.25,8,4,0.5,0.4166666666666667,0.4148148148148148,0.5911458333333334,4,3,1,1,2,5,2,2,4,P24,xgb,4,"{'subsample': 1.0, 'reg_lambda': 10, 'reg_alpha': 0.1, 'min_child_weight': 1, 'max_depth': 2, 'learning_rate': 0.03, 'gamma': 0.3, 'colsample_bytree': 0.6, 'colsample_bylevel': 0.6, 'n_estimators': 300}",0.6967532467532468,repeated_stratified,0,0,full,sep
8,2,0.25,8,4,0.5,8,3,0.375,0.375,0.3697478991596639,0.453125,2,2,4,2,4,2,2,3,3,P24,xgb,30,"{'subsample': 0.6, 'reg_lambda': 3, 'reg_alpha': 0.1, 'min_child_weight': 1, 'max_depth': 8, 'learning_rate': 0.05, 'gamma': 0, 'colsample_bytree': 0.7, 'colsample_bylevel': 0.8, 'n_estimators': 300}",0.6477392977392977,repeated_stratified,0,1,full,sep
8,3,0.375,8,1,0.125,8,4,0.5,0.3333333333333333,0.3287581699346405,0.5026041666666666,3,4,1,4,1,3,2,2,4,P24,xgb,30,"{'subsample': 0.6, 'reg_lambda': 1, 'reg_alpha': 0, 'min_child_weight': 1, 'max_depth': 2, 'learning_rate': 0.03, 'gamma': 0, 'colsample_bytree': 0.6, 'colsample_bylevel': 0.6, 'n_estimators': 300}",0.5556517556517556,repeated_stratified,0,2,full,sep
8,5,0.625,8,4,0.5,8,2,0.25,0.4583333333333333,0.45408496732026143,0.6145833333333334,5,1,2,1,4,3,2,4,2,P24,xgb,30,"{'subsample': 0.6, 'reg_lambda': 3, 'reg_alpha': 0.1, 'min_child_weight': 1, 'max_depth': 2, 'learning_rate': 0.05, 'gamma': 0, 'colsample_bytree': 0.7, 'colsample_bylevel': 0.6, 'n_estimators': 300}",0.5221500721500721,repeated_stratified,0,3,full,sep
8,3,0.375,8,3,0.375,8,2,0.25,0.3333333333333333,0.3333333333333333,0.5598958333333334,3,2,3,3,3,2,1,5,2,P24,xgb,28,"{'subsample': 0.8, 'reg_lambda': 3, 'reg_alpha': 0.1, 'min_child_weight': 1, 'max_depth': 2, 'learning_rate': 0.03, 'gamma': 1, 'colsample_bytree': 0.6, 'colsample_bylevel': 0.6, 'n_estimators': 300}",0.5436507936507936,repeated_stratified,0,4,full,sep
8,2,0.25,8,5,0.625,8,1,0.125,0.3333333333333333,0.3100539811066127,0.4973958333333333,2,3,3,2,5,1,4,3,1,P24,xgb,28,"{'subsample': 0.6, 'reg_lambda': 5, 'reg_alpha': 0, 'min_child_weight': 1, 'max_depth': 2, 'learning_rate': 0.01, 'gamma': 0.3, 'colsample_bytree': 0.7, 'colsample_bylevel': 0.6, 'n_estimators': 300}",0.5820827320827321,repeated_stratified,1,0,full,sep
8,3,0.375,8,4,0.5,8,2,0.25,0.375,0.36791497975708504,0.5026041666666666,3,3,2,3,4,1,2,4,2,P24,xgb,30,"{'subsample': 1.0, 'reg_lambda': 5, 'reg_alpha': 0.1, 'min_child_weight': 1, 'max_depth': 8, 'learning_rate': 0.03, 'gamma': 0.1, 'colsample_bytree': 0.7, 'colsample_bylevel': 0.8, 'n_estimators': 300}",0.5339105339105339,repeated_stratified,1,1,full,sep
8,1,0.125,8,3,0.375,8,3,0.375,0.2916666666666667,0.27777777777777773,0.5052083333333334,1,3,4,2,3,3,1,4,3,P24,xgb,30,"{'subsample': 0.6, 'reg_lambda': 3, 'reg_alpha': 0.1, 'min_child_weight': 1, 'max_depth': 8, 'learning_rate': 0.05, 'gamma': 0, 'colsample_bytree': 0.7, 'colsample_bylevel': 0.8, 'n_estimators': 300}",0.6754449254449254,repeated_stratified,1,2,full,sep
8,4,0.5,8,2,0.25,8,2,0.25,0.3333333333333333,0.32756132756132755,0.5911458333333334,4,3,1,5,2,1,5,1,2,P24,xgb,28,"{'subsample': 0.6, 'reg_lambda': 5, 'reg_alpha': 0.5, 'min_child_weight': 1, 'max_depth': 8, 'learning_rate': 0.03, 'gamma': 0.3, 'colsample_bytree': 0.6, 'colsample_bylevel': 0.6, 'n_estimators': 300}",0.6211880711880713,repeated_stratified,1,3,full,sep
8,6,0.75,8,2,0.25,8,6,0.75,0.5833333333333334,0.5539606592238171,0.6432291666666666,6,1,1,3,2,3,2,0,6,P24,xgb,29,"{'subsample': 1.0, 'reg_lambda': 5, 'reg_alpha': 0, 'min_child_weight': 1, 'max_depth': 2, 'learning_rate': 0.01, 'gamma': 0, 'colsample_bytree': 0.6, 'colsample_bylevel': 0.8, 'n_estimators': 300}",0.6302068302068302,repeated_stratified,1,4,full,sep
8,6,0.75,8,2,0.25,8,1,0.125,0.375,0.3297571993224167,0.4973958333333333,6,1,1,5,2,1,4,3,1,P24,xgb,30,"{'subsample': 1.0, 'reg_lambda': 5, 'reg_alpha': 0.1, 'min_child_weight': 1, 'max_depth': 8, 'learning_rate': 0.03, 'gamma': 0.1, 'colsample_bytree': 0.7, 'colsample_bylevel': 0.8, 'n_estimators': 300}",0.593843193843194,repeated_stratified,2,0,full,sep
