total_standing,correct_standing,accuracy_standing,total_straight,correct_straight,accuracy_straight,total_diagonal,correct_diagonal,accuracy_diagonal,overall_accuracy,macro_f1,macro_auc,cm_standing_standing,cm_standing_straight,cm_standing_diagonal,cm_straight_standing,cm_straight_straight,cm_straight_diagonal,cm_diagonal_standing,cm_diagonal_straight,cm_diagonal_diagonal,participant_id,model,n_features_final,best_params,inner_best_score,cv_mode,repeat,fold,channel_mode,ablation
8,2,0.25,8,3,0.375,8,2,0.25,0.2916666666666667,0.29116059379217274,0.4114583333333333,2,4,2,4,3,1,2,4,2,P14,xgb,6,"{'subsample': 0.6, 'reg_lambda': 5, 'reg_alpha': 0, 'min_child_weight': 1, 'max_depth': 2, 'learning_rate': 0.01, 'gamma': 0.3, 'colsample_bytree': 0.7, 'colsample_bylevel': 0.6, 'n_estimators': 300}",0.5787397787397787,repeated_stratified,0,0,full,sep
8,1,0.125,8,3,0.375,8,2,0.25,0.25,0.24285714285714285,0.4192708333333333,1,4,3,4,3,1,1,5,2,P14,xgb,32,"{'subsample': 0.6, 'reg_lambda': 5, 'reg_alpha': 0.5, 'min_child_weight': 1, 'max_depth': 8, 'learning_rate': 0.03, 'gamma': 0.3, 'colsample_bytree': 0.6, 'colsample_bylevel': 0.6, 'n_estimators': 300}",0.5381673881673882,repeated_stratified,0,1,full,sep
8,5,0.625,8,1,0.125,8,2,0.25,0.3333333333333333,0.3148148148148148,0.4270833333333333,5,1,2,1,1,6,4,2,2,P14,xgb,30,"{'subsample': 0.6, 'reg_lambda': 3, 'reg_alpha': 0.1, 'min_child_weight': 1, 'max_depth': 2, 'learning_rate': 0.05, 'gamma': 0, 'colsample_bytree': 0.7, 'colsample_bylevel': 0.6, 'n_estimators': 300}",0.5604136604136604,repeated_stratified,0,2,full,sep
8,2,0.25,8,3,0.375,8,4,0.5,0.375,0.36791497975708504,0.4375,2,2,4,2,3,3,1,3,4,P14,xgb,30,"{'subsample': 0.6, 'reg_lambda': 3, 'reg_alpha': 0.1, 'min_child_weight': 1, 'max_depth': 2, 'learning_rate': 0.05, 'gamma': 0, 'colsample_bytree': 0.7, 'colsample_bylevel': 0.6, 'n_estimators': 300}",0.5027417027417028,repeated_stratified,0,3,full,sep
8,3,0.375,8,4,0.5,8,3,0.375,0.4166666666666667,0.4151960784313726,0.5416666666666666,3,3,2,2,4,2,3,2,3,P14,xgb,8,"{'subsample': 0.8, 'reg_lambda': 10, 'reg_alpha': 0, 'min_child_weight': 1, 'max_depth': 8, 'learning_rate': 0.05, 'gamma': 0, 'colsample_bytree': 0.7, 'colsample_bylevel': 0.6, 'n_estimators': 300}",0.5787397787397787,repeated_stratified,0,4,full,sep
8,1,0.125,8,2,0.25,8,4,0.5,0.2916666666666667,0.277861571979219,0.3828125,1,3,4,4,2,2,0,4,4,P14,xgb,1,"{'subsample': 0.6, 'reg_lambda': 1, 'reg_alpha': 0.1, 'min_child_weight': 1, 'max_depth': 2, 'learning_rate': 0.01, 'gamma': 2, 'colsample_bytree': 0.7, 'colsample_bylevel': 0.6, 'n_estimators': 300}",0.5903559403559404,repeated_stratified,1,0,full,sep
8,3,0.375,8,4,0.5,8,1,0.125,0.3333333333333333,0.31925590749120164,0.4036458333333333,3,2,3,3,4,1,4,3,1,P14,xgb,6,"{'subsample': 1.0, 'reg_lambda': 10, 'reg_alpha': 0.1, 'min_child_weight': 1, 'max_depth': 2, 'learning_rate': 0.03, 'gamma': 0.3, 'colsample_bytree': 0.6, 'colsample_bylevel': 0.6, 'n_estimators': 300}",0.5897306397306398,repeated_stratified,1,1,full,sep
8,1,0.125,8,1,0.125,8,3,0.375,0.20833333333333334,0.21421568627450982,0.3463541666666667,1,4,3,6,1,1,2,3,3,P14,xgb,32,"{'subsample': 0.6, 'reg_lambda': 3, 'reg_alpha': 0.1, 'min_child_weight': 1, 'max_depth': 8, 'learning_rate': 0.05, 'gamma': 0, 'colsample_bytree': 0.7, 'colsample_bylevel': 0.8, 'n_estimators': 300}",0.5741221741221741,repeated_stratified,1,2,full,sep
8,2,0.25,8,2,0.25,8,4,0.5,0.3333333333333333,0.32624831309041835,0.5625,2,2,4,3,2,3,3,1,4,P14,xgb,30,"{'subsample': 0.6, 'reg_lambda': 3, 'reg_alpha': 0.1, 'min_child_weight': 1, 'max_depth': 2, 'learning_rate': 0.05, 'gamma': 0, 'colsample_bytree': 0.7, 'colsample_bylevel': 0.6, 'n_estimators': 300}",0.5578884078884078,repeated_stratified,1,3,full,sep
8,5,0.625,8,2,0.25,8,2,0.25,0.375,0.35786435786435783,0.4947916666666667,5,2,1,5,2,1,4,2,2,P14,xgb,4,"{'subsample': 1.0, 'reg_lambda': 10, 'reg_alpha': 0.5, 'min_child_weight': 1, 'max_depth': 4, 'learning_rate': 0.03, 'gamma': 1, 'colsample_bytree': 0.7, 'colsample_bylevel': 0.8, 'n_estimators': 300}",0.5238816738816738,repeated_stratified,1,4,full,sep
