total_standing,correct_standing,accuracy_standing,total_straight,correct_straight,accuracy_straight,total_diagonal,correct_diagonal,accuracy_diagonal,overall_accuracy,macro_f1,macro_auc,cm_standing_standing,cm_standing_straight,cm_standing_diagonal,cm_straight_standing,cm_straight_straight,cm_straight_diagonal,cm_diagonal_standing,cm_diagonal_straight,cm_diagonal_diagonal,participant_id,model,n_features_final,best_params,inner_best_score,cv_mode,repeat,fold,channel_mode,ablation
8,2,0.25,8,2,0.25,8,3,0.375,0.2916666666666667,0.2943121693121693,0.5130208333333334,2,4,2,3,2,3,1,4,3,P08,xgb,17,"{'subsample': 1.0, 'reg_lambda': 10, 'reg_alpha': 0.5, 'min_child_weight': 1, 'max_depth': 4, 'learning_rate': 0.03, 'gamma': 1, 'colsample_bytree': 0.7, 'colsample_bylevel': 0.8, 'n_estimators': 300}",0.5861071027737695,repeated_stratified,0,0,full,sep
8,0,0.0,8,3,0.375,8,3,0.375,0.25,0.22291021671826625,0.3932291666666667,0,3,5,2,3,3,2,3,3,P08,xgb,21,"{'subsample': 0.8, 'reg_lambda': 10, 'reg_alpha': 0.5, 'min_child_weight': 1, 'max_depth': 2, 'learning_rate': 0.05, 'gamma': 0.5, 'colsample_bytree': 0.7, 'colsample_bylevel': 0.8, 'n_estimators': 300}",0.6359948693282026,repeated_stratified,0,1,full,sep
7,2,0.2857142857142857,8,4,0.5,8,3,0.375,0.391304347826087,0.38860877684407097,0.5531746031746031,2,4,1,2,4,2,4,1,3,P08,xgb,15,"{'subsample': 0.6, 'reg_lambda': 1, 'reg_alpha': 0.1, 'min_child_weight': 1, 'max_depth': 2, 'learning_rate': 0.01, 'gamma': 2, 'colsample_bytree': 0.7, 'colsample_bylevel': 0.6, 'n_estimators': 300}",0.60494227994228,repeated_stratified,0,2,full,sep
7,5,0.7142857142857143,8,2,0.25,8,2,0.25,0.391304347826087,0.373015873015873,0.5847222222222223,5,2,0,4,2,2,4,2,2,P08,xgb,21,"{'subsample': 0.6, 'reg_lambda': 1, 'reg_alpha': 0.1, 'min_child_weight': 1, 'max_depth': 2, 'learning_rate': 0.01, 'gamma': 2, 'colsample_bytree': 0.7, 'colsample_bylevel': 0.6, 'n_estimators': 300}",0.5752765752765753,repeated_stratified,0,3,full,sep
7,2,0.2857142857142857,8,5,0.625,8,5,0.625,0.5217391304347826,0.5108932461873638,0.6003968253968254,2,4,1,0,5,3,0,3,5,P08,xgb,21,"{'subsample': 0.8, 'reg_lambda': 3, 'reg_alpha': 0.1, 'min_child_weight': 1, 'max_depth': 2, 'learning_rate': 0.05, 'gamma': 2, 'colsample_bytree': 0.7, 'colsample_bylevel': 0.6, 'n_estimators': 300}",0.5439514189514191,repeated_stratified,0,4,full,sep
8,3,0.375,8,4,0.5,8,4,0.5,0.4583333333333333,0.46388028895768835,0.5208333333333334,3,2,3,0,4,4,1,3,4,P08,xgb,20,"{'subsample': 0.6, 'reg_lambda': 1, 'reg_alpha': 0, 'min_child_weight': 1, 'max_depth': 2, 'learning_rate': 0.03, 'gamma': 0, 'colsample_bytree': 0.6, 'colsample_bylevel': 0.6, 'n_estimators': 300}",0.5007736091069425,repeated_stratified,1,0,full,sep
8,2,0.25,8,3,0.375,8,2,0.25,0.2916666666666667,0.3073549257759784,0.40625,2,2,4,3,3,2,6,0,2,P08,xgb,16,"{'subsample': 0.8, 'reg_lambda': 10, 'reg_alpha': 0.1, 'min_child_weight': 1, 'max_depth': 16, 'learning_rate': 0.01, 'gamma': 0.1, 'colsample_bytree': 0.6, 'colsample_bylevel': 0.6, 'n_estimators': 300}",0.6652076318742987,repeated_stratified,1,1,full,sep
7,2,0.2857142857142857,8,3,0.375,8,3,0.375,0.34782608695652173,0.34700854700854694,0.5575396825396824,2,3,2,3,3,2,1,4,3,P08,xgb,16,"{'subsample': 1.0, 'reg_lambda': 10, 'reg_alpha': 0.5, 'min_child_weight': 1, 'max_depth': 4, 'learning_rate': 0.03, 'gamma': 1, 'colsample_bytree': 0.7, 'colsample_bylevel': 0.8, 'n_estimators': 300}",0.5997354497354497,repeated_stratified,1,2,full,sep
7,1,0.14285714285714285,8,4,0.5,8,2,0.25,0.30434782608695654,0.2851037851037851,0.4755952380952381,1,6,0,1,4,3,3,3,2,P08,xgb,20,"{'subsample': 0.6, 'reg_lambda': 5, 'reg_alpha': 0.5, 'min_child_weight': 1, 'max_depth': 8, 'learning_rate': 0.03, 'gamma': 0.3, 'colsample_bytree': 0.6, 'colsample_bylevel': 0.6, 'n_estimators': 300}",0.5734247234247234,repeated_stratified,1,3,full,sep
7,2,0.2857142857142857,8,5,0.625,8,3,0.375,0.43478260869565216,0.4227994227994228,0.5712301587301586,2,4,1,1,5,2,1,4,3,P08,xgb,21,"{'subsample': 1.0, 'reg_lambda': 3, 'reg_alpha': 0, 'min_child_weight': 1, 'max_depth': 4, 'learning_rate': 0.01, 'gamma': 0.3, 'colsample_bytree': 0.6, 'colsample_bylevel': 0.6, 'n_estimators': 300}",0.5147667147667148,repeated_stratified,1,4,full,sep
