total_standing,correct_standing,accuracy_standing,total_straight,correct_straight,accuracy_straight,total_diagonal,correct_diagonal,accuracy_diagonal,overall_accuracy,macro_f1,macro_auc,cm_standing_standing,cm_standing_straight,cm_standing_diagonal,cm_straight_standing,cm_straight_straight,cm_straight_diagonal,cm_diagonal_standing,cm_diagonal_straight,cm_diagonal_diagonal,participant_id,model,n_features_final,best_params,inner_best_score,cv_mode,repeat,fold,channel_mode,ablation
8,3,0.375,8,6,0.75,8,1,0.125,0.4166666666666667,0.3846153846153846,0.6770833333333334,3,2,3,1,6,1,3,4,1,P31,xgb,29,"{'subsample': 1.0, 'reg_lambda': 10, 'reg_alpha': 0.1, 'min_child_weight': 1, 'max_depth': 2, 'learning_rate': 0.03, 'gamma': 0.3, 'colsample_bytree': 0.6, 'colsample_bylevel': 0.6, 'n_estimators': 300}",0.6192400192400193,repeated_stratified,0,0,full,sep
8,3,0.375,8,3,0.375,8,3,0.375,0.375,0.37896825396825395,0.6302083333333334,3,3,2,0,3,5,3,2,3,P31,xgb,30,"{'subsample': 1.0, 'reg_lambda': 3, 'reg_alpha': 0.5, 'min_child_weight': 1, 'max_depth': 2, 'learning_rate': 0.05, 'gamma': 0, 'colsample_bytree': 0.7, 'colsample_bylevel': 0.8, 'n_estimators': 300}",0.623929773929774,repeated_stratified,0,1,full,sep
8,4,0.5,8,5,0.625,8,4,0.5,0.5416666666666666,0.5416666666666666,0.7447916666666666,4,1,3,2,5,1,2,2,4,P31,xgb,28,"{'subsample': 1.0, 'reg_lambda': 10, 'reg_alpha': 0.1, 'min_child_weight': 1, 'max_depth': 2, 'learning_rate': 0.03, 'gamma': 0.3, 'colsample_bytree': 0.6, 'colsample_bylevel': 0.6, 'n_estimators': 300}",0.6315776815776816,repeated_stratified,0,2,full,sep
8,5,0.625,8,4,0.5,8,4,0.5,0.5416666666666666,0.5407407407407407,0.7057291666666666,5,1,2,3,4,1,2,2,4,P31,xgb,30,"{'subsample': 1.0, 'reg_lambda': 3, 'reg_alpha': 0.5, 'min_child_weight': 1, 'max_depth': 2, 'learning_rate': 0.05, 'gamma': 0, 'colsample_bytree': 0.7, 'colsample_bylevel': 0.8, 'n_estimators': 300}",0.5613275613275613,repeated_stratified,0,3,full,sep
8,2,0.25,8,4,0.5,8,2,0.25,0.3333333333333333,0.3244778613199666,0.5390625,2,3,3,2,4,2,2,4,2,P31,xgb,30,"{'subsample': 1.0, 'reg_lambda': 5, 'reg_alpha': 0, 'min_child_weight': 1, 'max_depth': 2, 'learning_rate': 0.01, 'gamma': 0, 'colsample_bytree': 0.6, 'colsample_bylevel': 0.8, 'n_estimators': 300}",0.667917267917268,repeated_stratified,0,4,full,sep
8,5,0.625,8,4,0.5,8,4,0.5,0.5416666666666666,0.5429738562091503,0.6979166666666666,5,2,1,2,4,2,1,3,4,P31,xgb,30,"{'subsample': 0.8, 'reg_lambda': 1, 'reg_alpha': 0, 'min_child_weight': 1, 'max_depth': 4, 'learning_rate': 0.01, 'gamma': 0, 'colsample_bytree': 0.7, 'colsample_bylevel': 0.8, 'n_estimators': 300}",0.6576479076479077,repeated_stratified,1,0,full,sep
8,4,0.5,8,3,0.375,8,3,0.375,0.4166666666666667,0.4258980785296574,0.640625,4,0,4,1,3,4,2,3,3,P31,xgb,29,"{'subsample': 0.8, 'reg_lambda': 1, 'reg_alpha': 0.1, 'min_child_weight': 1, 'max_depth': 4, 'learning_rate': 0.05, 'gamma': 0.5, 'colsample_bytree': 0.7, 'colsample_bylevel': 0.6, 'n_estimators': 300}",0.6769119769119768,repeated_stratified,1,1,full,sep
8,2,0.25,8,7,0.875,8,4,0.5,0.5416666666666666,0.5111111111111111,0.6640625,2,4,2,0,7,1,2,2,4,P31,xgb,30,"{'subsample': 0.8, 'reg_lambda': 1, 'reg_alpha': 0, 'min_child_weight': 1, 'max_depth': 8, 'learning_rate': 0.01, 'gamma': 0.3, 'colsample_bytree': 0.6, 'colsample_bylevel': 0.8, 'n_estimators': 300}",0.635906685906686,repeated_stratified,1,2,full,sep
8,5,0.625,8,4,0.5,8,3,0.375,0.5,0.4962962962962963,0.6901041666666666,5,1,2,2,4,2,3,2,3,P31,xgb,29,"{'subsample': 0.8, 'reg_lambda': 1, 'reg_alpha': 0, 'min_child_weight': 1, 'max_depth': 4, 'learning_rate': 0.01, 'gamma': 0, 'colsample_bytree': 0.7, 'colsample_bylevel': 0.8, 'n_estimators': 300}",0.6671717171717172,repeated_stratified,1,3,full,sep
8,2,0.25,8,3,0.375,8,4,0.5,0.375,0.375,0.578125,2,3,3,4,3,1,2,2,4,P31,xgb,30,"{'subsample': 0.6, 'reg_lambda': 1, 'reg_alpha': 0, 'min_child_weight': 1, 'max_depth': 2, 'learning_rate': 0.03, 'gamma': 0, 'colsample_bytree': 0.6, 'colsample_bylevel': 0.6, 'n_estimators': 300}",0.605892255892256,repeated_stratified,1,4,full,sep
