total_standing,correct_standing,accuracy_standing,total_straight,correct_straight,accuracy_straight,total_diagonal,correct_diagonal,accuracy_diagonal,overall_accuracy,macro_f1,macro_auc,cm_standing_standing,cm_standing_straight,cm_standing_diagonal,cm_straight_standing,cm_straight_straight,cm_straight_diagonal,cm_diagonal_standing,cm_diagonal_straight,cm_diagonal_diagonal,participant_id,model,n_features_final,best_params,inner_best_score,cv_mode,repeat,fold,channel_mode,ablation
8,3,0.375,8,3,0.375,9,3,0.3333333333333333,0.36,0.3678571428571429,0.5803376906318083,3,5,0,1,3,4,2,4,3,P10,xgb,24,"{'subsample': 0.8, 'reg_lambda': 10, 'reg_alpha': 0.5, 'min_child_weight': 1, 'max_depth': 8, 'learning_rate': 0.01, 'gamma': 0.3, 'colsample_bytree': 0.7, 'colsample_bylevel': 0.6, 'n_estimators': 300}",0.5379050242686606,repeated_stratified,0,0,full,sep
9,3,0.3333333333333333,8,2,0.25,8,4,0.5,0.36,0.36274509803921573,0.5228758169934641,3,5,1,3,2,3,2,2,4,P10,xgb,9,"{'subsample': 0.6, 'reg_lambda': 1, 'reg_alpha': 0.1, 'min_child_weight': 1, 'max_depth': 2, 'learning_rate': 0.01, 'gamma': 2, 'colsample_bytree': 0.7, 'colsample_bylevel': 0.6, 'n_estimators': 300}",0.6336612882067426,repeated_stratified,0,1,full,sep
8,3,0.375,8,3,0.375,8,3,0.375,0.375,0.3841093117408907,0.6145833333333334,3,2,3,0,3,5,2,3,3,P10,xgb,21,"{'subsample': 1.0, 'reg_lambda': 1, 'reg_alpha': 0.5, 'min_child_weight': 1, 'max_depth': 4, 'learning_rate': 0.01, 'gamma': 0.5, 'colsample_bytree': 0.6, 'colsample_bylevel': 0.8, 'n_estimators': 300}",0.5216974944247671,repeated_stratified,0,2,full,sep
8,4,0.5,8,4,0.5,8,3,0.375,0.4583333333333333,0.4568627450980392,0.5234375,4,2,2,2,4,2,2,3,3,P10,xgb,21,"{'subsample': 0.6, 'reg_lambda': 1, 'reg_alpha': 0, 'min_child_weight': 1, 'max_depth': 2, 'learning_rate': 0.03, 'gamma': 0, 'colsample_bytree': 0.6, 'colsample_bylevel': 0.6, 'n_estimators': 300}",0.528260964624601,repeated_stratified,0,3,full,sep
8,2,0.25,8,1,0.125,8,1,0.125,0.16666666666666666,0.16312415654520918,0.453125,2,4,2,5,1,2,4,3,1,P10,xgb,10,"{'subsample': 0.8, 'reg_lambda': 10, 'reg_alpha': 0.5, 'min_child_weight': 1, 'max_depth': 8, 'learning_rate': 0.01, 'gamma': 0.3, 'colsample_bytree': 0.7, 'colsample_bylevel': 0.6, 'n_estimators': 300}",0.5963028553937645,repeated_stratified,0,4,full,sep
8,5,0.625,8,3,0.375,9,2,0.2222222222222222,0.4,0.3940117853161332,0.6717047930283225,5,1,2,4,3,1,6,1,2,P10,xgb,28,"{'subsample': 0.6, 'reg_lambda': 5, 'reg_alpha': 0, 'min_child_weight': 1, 'max_depth': 2, 'learning_rate': 0.01, 'gamma': 0.3, 'colsample_bytree': 0.7, 'colsample_bylevel': 0.6, 'n_estimators': 300}",0.5082032445668809,repeated_stratified,1,0,full,sep
9,3,0.3333333333333333,8,2,0.25,8,3,0.375,0.32,0.31814831195636145,0.5573257080610022,3,1,5,3,2,3,2,3,3,P10,xgb,20,"{'subsample': 0.6, 'reg_lambda': 5, 'reg_alpha': 0, 'min_child_weight': 1, 'max_depth': 2, 'learning_rate': 0.01, 'gamma': 0.3, 'colsample_bytree': 0.7, 'colsample_bylevel': 0.6, 'n_estimators': 300}",0.5391162709344527,repeated_stratified,1,1,full,sep
8,5,0.625,8,0,0.0,8,2,0.25,0.2916666666666667,0.25925925925925924,0.484375,5,1,2,2,0,6,3,3,2,P10,xgb,23,"{'subsample': 0.8, 'reg_lambda': 3, 'reg_alpha': 0.1, 'min_child_weight': 1, 'max_depth': 2, 'learning_rate': 0.03, 'gamma': 1, 'colsample_bytree': 0.6, 'colsample_bylevel': 0.6, 'n_estimators': 300}",0.6503279548734094,repeated_stratified,1,2,full,sep
8,1,0.125,8,4,0.5,8,1,0.125,0.25,0.2222222222222222,0.421875,1,5,2,3,4,1,0,7,1,P10,xgb,20,"{'subsample': 0.8, 'reg_lambda': 5, 'reg_alpha': 0.1, 'min_child_weight': 1, 'max_depth': 8, 'learning_rate': 0.03, 'gamma': 0, 'colsample_bytree': 0.6, 'colsample_bylevel': 0.6, 'n_estimators': 300}",0.6268398268398269,repeated_stratified,1,3,full,sep
8,1,0.125,8,1,0.125,8,4,0.5,0.25,0.22277963582311408,0.5234375,1,2,5,1,1,6,2,2,4,P10,xgb,21,"{'subsample': 0.8, 'reg_lambda': 10, 'reg_alpha': 0.1, 'min_child_weight': 1, 'max_depth': 16, 'learning_rate': 0.01, 'gamma': 0.1, 'colsample_bytree': 0.6, 'colsample_bylevel': 0.6, 'n_estimators': 300}",0.5885040885040885,repeated_stratified,1,4,full,sep
