participant,model,channel,channel_index,baseline_auc,occluded_auc,delta_auc,baseline_accuracy,occluded_accuracy,delta_accuracy
P01,eegnet,PO8,61,0.625625,0.6181249999999999,0.007500000000000062,0.6,0.6,0.0
P01,eegnet,PO4,62,0.625625,0.6275,-0.00187499999999996,0.6,0.6125,-0.012500000000000067
P01,eegnet,O2,63,0.625625,0.6175,0.008124999999999938,0.6,0.6,0.0
P02,eegnet,Fp1,0,0.7125,0.70125,0.011249999999999982,0.6875,0.65,0.03749999999999998
P02,eegnet,AF7,1,0.7125,0.71,0.0025000000000000577,0.6875,0.6625,0.025000000000000022
P02,eegnet,AF3,2,0.7125,0.7024999999999999,0.01000000000000012,0.6875,0.65,0.03749999999999998
P02,eegnet,F1,3,0.7125,0.7168749999999999,-0.004374999999999907,0.6875,0.6375,0.050000000000000044
P02,eegnet,F3,4,0.7125,0.713125,-0.0006249999999999867,0.6875,0.675,0.012499999999999956
P02,eegnet,F5,5,0.7125,0.69875,0.01375000000000004,0.6875,0.6375,0.050000000000000044
P02,eegnet,F7,6,0.7125,0.71375,-0.0012499999999999734,0.6875,0.6875,0.0
P02,eegnet,FT7,7,0.7125,0.715625,-0.0031249999999999334,0.6875,0.6625,0.025000000000000022
P02,eegnet,FC5,8,0.7125,0.7068749999999999,0.005625000000000102,0.6875,0.65,0.03749999999999998
P02,eegnet,FC3,9,0.7125,0.71625,-0.003750000000000031,0.6875,0.675,0.012499999999999956
P02,eegnet,FC1,10,0.7125,0.7175,-0.0050000000000000044,0.6875,0.6625,0.025000000000000022
P02,eegnet,C1,11,0.7125,0.7150000000000001,-0.0025000000000000577,0.6875,0.675,0.012499999999999956
P02,eegnet,C3,12,0.7125,0.6968749999999999,0.01562500000000011,0.6875,0.6875,0.0
P02,eegnet,C5,13,0.7125,0.7112499999999999,0.0012500000000000844,0.6875,0.6875,0.0
P02,eegnet,T7,14,0.7125,0.7075,0.0050000000000000044,0.6875,0.675,0.012499999999999956
P02,eegnet,TP7,15,0.7125,0.7075,0.0050000000000000044,0.6875,0.65,0.03749999999999998
P02,eegnet,CP5,16,0.7125,0.695,0.01750000000000007,0.6875,0.6375,0.050000000000000044
P02,eegnet,CP3,17,0.7125,0.7068750000000001,0.00562499999999988,0.6875,0.6375,0.050000000000000044
P02,eegnet,CP1,18,0.7125,0.7150000000000001,-0.0025000000000000577,0.6875,0.6375,0.050000000000000044
P02,eegnet,P1,19,0.7125,0.7056250000000001,0.0068749999999999645,0.6875,0.65,0.03749999999999998
P02,eegnet,P3,20,0.7125,0.71375,-0.0012499999999999734,0.6875,0.6625,0.025000000000000022
P02,eegnet,P5,21,0.7125,0.715625,-0.0031249999999999334,0.6875,0.6875,0.0
P02,eegnet,P7,22,0.7125,0.7124999999999999,1.1102230246251565e-16,0.6875,0.675,0.012499999999999956
P02,eegnet,P9,23,0.7125,0.706875,0.005624999999999991,0.6875,0.625,0.0625
P02,eegnet,PO7,24,0.7125,0.6956249999999999,0.016875000000000084,0.6875,0.625,0.0625
P02,eegnet,PO3,25,0.7125,0.719375,-0.0068749999999999645,0.6875,0.675,0.012499999999999956
P02,eegnet,O1,26,0.7125,0.694375,0.018125000000000058,0.6875,0.675,0.012499999999999956
P02,eegnet,Iz,27,0.7125,0.70375,0.008750000000000036,0.6875,0.6875,0.0
P02,eegnet,Oz,28,0.7125,0.713125,-0.0006249999999999867,0.6875,0.6625,0.025000000000000022
P02,eegnet,POz,29,0.7125,0.708125,0.004375000000000018,0.6875,0.6625,0.025000000000000022
P02,eegnet,Pz,30,0.7125,0.6915625000000001,0.020937499999999942,0.6875,0.675,0.012499999999999956
P02,eegnet,CPz,31,0.7125,0.7106250000000001,0.00187499999999996,0.6875,0.65,0.03749999999999998
P02,eegnet,Fpz,32,0.7125,0.698125,0.014375000000000027,0.6875,0.675,0.012499999999999956
P02,eegnet,Fp2,33,0.7125,0.71,0.0025000000000000577,0.6875,0.7,-0.012499999999999956
P02,eegnet,AF8,34,0.7125,0.7074999999999999,0.0050000000000001155,0.6875,0.6875,0.0
P02,eegnet,AF4,35,0.7125,0.7031250000000001,0.009374999999999911,0.6875,0.65,0.03749999999999998
P02,eegnet,AFz,36,0.7125,0.708125,0.004375000000000018,0.6875,0.6625,0.025000000000000022
