total_standing,correct_standing,accuracy_standing,total_straight,correct_straight,accuracy_straight,total_diagonal,correct_diagonal,accuracy_diagonal,overall_accuracy,macro_f1,macro_auc,cm_standing_standing,cm_standing_straight,cm_standing_diagonal,cm_straight_standing,cm_straight_straight,cm_straight_diagonal,cm_diagonal_standing,cm_diagonal_straight,cm_diagonal_diagonal,participant_id,model,n_features_final,best_params,inner_best_score,cv_mode,repeat,fold,channel_mode,ablation
13,4,0.3076923076923077,14,6,0.42857142857142855,13,3,0.23076923076923078,0.325,0.32,0.5839777506444174,4,4,5,4,6,4,4,6,3,P06,xgb,23,"{'subsample': 0.8, 'reg_lambda': 3, 'reg_alpha': 0.1, 'min_child_weight': 1, 'max_depth': 2, 'learning_rate': 0.05, 'gamma': 2, 'colsample_bytree': 0.7, 'colsample_bylevel': 0.6, 'n_estimators': 300}",0.6657678741012074,repeated_stratified,0,0,full,sep
13,8,0.6153846153846154,13,5,0.38461538461538464,14,4,0.2857142857142857,0.425,0.42124542124542125,0.6878985212318547,8,2,3,3,5,5,4,6,4,P06,xgb,25,"{'subsample': 0.8, 'reg_lambda': 3, 'reg_alpha': 0.1, 'min_child_weight': 1, 'max_depth': 2, 'learning_rate': 0.05, 'gamma': 2, 'colsample_bytree': 0.7, 'colsample_bylevel': 0.6, 'n_estimators': 300}",0.6550501967168634,repeated_stratified,0,1,full,sep
14,10,0.7142857142857143,13,5,0.38461538461538464,13,3,0.23076923076923078,0.45,0.4254634254634255,0.5837064170397505,10,2,2,5,5,3,4,6,3,P06,xgb,29,"{'subsample': 0.6, 'reg_lambda': 3, 'reg_alpha': 0.1, 'min_child_weight': 1, 'max_depth': 2, 'learning_rate': 0.05, 'gamma': 0, 'colsample_bytree': 0.7, 'colsample_bylevel': 0.6, 'n_estimators': 300}",0.6169278252611587,repeated_stratified,0,2,full,sep
13,8,0.6153846153846154,14,4,0.2857142857142857,13,4,0.3076923076923077,0.4,0.39145299145299145,0.6505223171889839,8,2,3,4,4,6,5,4,4,P06,xgb,24,"{'subsample': 0.8, 'reg_lambda': 5, 'reg_alpha': 0.1, 'min_child_weight': 1, 'max_depth': 8, 'learning_rate': 0.03, 'gamma': 0, 'colsample_bytree': 0.6, 'colsample_bylevel': 0.6, 'n_estimators': 300}",0.5341032424365758,repeated_stratified,1,0,full,sep
13,4,0.3076923076923077,13,4,0.3076923076923077,14,5,0.35714285714285715,0.325,0.3244797178130512,0.4641839641839642,4,4,5,5,4,4,3,6,5,P06,xgb,29,"{'subsample': 1.0, 'reg_lambda': 3, 'reg_alpha': 0, 'min_child_weight': 1, 'max_depth': 4, 'learning_rate': 0.01, 'gamma': 0.3, 'colsample_bytree': 0.6, 'colsample_bylevel': 0.6, 'n_estimators': 300}",0.7452007868674535,repeated_stratified,1,1,full,sep
14,6,0.42857142857142855,13,5,0.38461538461538464,13,4,0.3076923076923077,0.375,0.3837895866881374,0.6032085198751865,6,4,4,2,5,6,1,8,4,P06,xgb,30,"{'subsample': 0.8, 'reg_lambda': 1, 'reg_alpha': 0.1, 'min_child_weight': 1, 'max_depth': 4, 'learning_rate': 0.05, 'gamma': 0.5, 'colsample_bytree': 0.7, 'colsample_bylevel': 0.6, 'n_estimators': 300}",0.626933251933252,repeated_stratified,1,2,full,sep
