participant,model,sample_start,sample_stop,time_start_s,time_stop_s,baseline_auc,occluded_auc,delta_auc,baseline_accuracy,occluded_accuracy,delta_accuracy
P25,eegnet,0,256,0.0,0.25,0.761875,0.654375,0.10749999999999993,0.7125,0.625,0.08750000000000002
P25,eegnet,256,512,0.25,0.5,0.761875,0.7706250000000001,-0.008750000000000147,0.7125,0.6875,0.025000000000000022
P25,eegnet,512,768,0.5,0.75,0.761875,0.7737499999999999,-0.011874999999999969,0.7125,0.725,-0.012499999999999956
P25,eegnet,768,1024,0.75,1.0,0.761875,0.7293750000000001,0.03249999999999986,0.7125,0.6375,0.07500000000000007
P25,eegnet,1024,1280,1.0,1.25,0.761875,0.7424999999999999,0.01937500000000003,0.7125,0.7,0.012500000000000067
P25,eegnet,1280,1536,1.25,1.5,0.761875,0.7625,-0.0006249999999999867,0.7125,0.7,0.012500000000000067
P25,eegnet,1536,1792,1.5,1.75,0.761875,0.794375,-0.032500000000000084,0.7125,0.65,0.0625
P25,eegnet,1792,2048,1.75,2.0,0.761875,0.7449999999999999,0.016875000000000084,0.7125,0.7125,0.0
P25,eegnet,2048,2049,2.0,2.0009765625,0.761875,0.761875,0.0,0.7125,0.7125,0.0
