participant,model,channel,channel_index,baseline_auc,occluded_auc,delta_auc,baseline_accuracy,occluded_accuracy,delta_accuracy
P25,eegnet,CP6,53,0.761875,0.7637499999999999,-0.00187499999999996,0.7125,0.725,-0.012499999999999956
P25,eegnet,CP4,54,0.761875,0.76125,0.0006249999999999867,0.7125,0.725,-0.012499999999999956
P25,eegnet,CP2,55,0.761875,0.755625,0.006249999999999978,0.7125,0.6875,0.025000000000000022
P25,eegnet,P2,56,0.761875,0.7575000000000001,0.004374999999999907,0.7125,0.7125,0.0
P25,eegnet,P4,57,0.761875,0.76125,0.0006249999999999867,0.7125,0.7375,-0.025000000000000022
P25,eegnet,P6,58,0.761875,0.7625000000000001,-0.0006250000000000977,0.7125,0.725,-0.012499999999999956
P25,eegnet,P8,59,0.761875,0.7581249999999999,0.003750000000000031,0.7125,0.725,-0.012499999999999956
P25,eegnet,P10,60,0.761875,0.7743749999999999,-0.012499999999999956,0.7125,0.7125,0.0
P25,eegnet,PO8,61,0.761875,0.76625,-0.004375000000000018,0.7125,0.725,-0.012499999999999956
P25,eegnet,PO4,62,0.761875,0.760625,0.0012499999999999734,0.7125,0.725,-0.012499999999999956
P25,eegnet,O2,63,0.761875,0.7537499999999999,0.008125000000000049,0.7125,0.7,0.012500000000000067
